iso_code,continent,location,last_updated_date,new_cases_per_million,new_deaths_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,median_age,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index
GRD,North America,Grenada,10/19/21,61.939,0,32.52,25.31,29.4,13593.877,243.964,10.71,72.4,0.779
GTM,North America,Guatemala,10/19/21,94.466,2.685,27.87,16.58,22.9,7423.808,155.898,10.18,74.3,0.663
GGY,Europe,Guernsey,10/18/21,,,,,,,,,,
GIN,Africa,Guinea,10/19/21,2,0,10.04,4.85,19,1998.926,336.717,2.42,61.6,0.477
GNB,Africa,Guinea-Bissau,10/19/21,0,0,5.55,0.48,19.4,1548.675,382.474,2.42,58.32,0.48
GUY,South America,Guyana,10/19/21,118.938,2.531,46.8,28.68,26.3,7435.047,373.159,11.62,69.91,0.682
HTI,North America,Haiti,10/19/21,24.433,0.087,0.64,0.25,24.3,1653.173,430.548,6.65,64,0.51
HND,North America,Honduras,10/19/21,102.057,5.068,34.99,25.22,24.9,4541.795,240.208,7.21,75.27,0.634
HKG,Asia,Hong Kong,10/19/21,0.265,0,60.51,57.64,44.8,56054.92,,8.33,84.86,0.949
HUN,Europe,Hungary,10/19/21,89.162,1.661,61.51,59.2,43.4,26777.561,278.296,7.55,76.88,0.854
ISL,Europe,Iceland,10/19/21,259.203,0,82.23,80.92,37.3,46482.958,117.992,5.31,82.99,0.949
IND,Asia,India,10/19/21,10.494,0.141,50.25,20.6,28.2,6426.674,282.28,10.39,69.66,0.645
IDN,Asia,Indonesia,10/19/21,3.267,0.181,39.44,23.16,29.3,11188.744,342.864,6.32,71.72,0.718
OWID_INT,,International,10/19/21,,,,,,,,,,
IRN,Asia,Iran,10/19/21,156.512,1.964,57.58,29.59,32.4,19082.62,270.308,9.59,76.68,0.783
IRQ,Asia,Iraq,10/19/21,44.561,0.607,12.78,7.88,20,15663.986,218.612,8.83,70.6,0.674
IRL,Europe,Ireland,10/19/21,481.045,0,76.1,74.84,38.7,67335.293,126.459,3.28,82.3,0.955
IMN,Europe,Isle of Man,10/19/21,,,78.83,75.18,,,,,81.4,
ISR,Asia,Israel,10/19/21,141.414,1.251,70.65,64.91,30.6,33132.32,93.32,6.74,82.97,0.919
ITA,Europe,Italy,10/19/21,44.643,1.16,76.73,70.28,47.9,35220.084,113.151,4.78,83.51,0.892
JAM,North America,Jamaica,10/19/21,27.241,2.018,19.17,11.72,31.4,8193.571,206.537,11.28,74.47,0.734
JPN,Asia,Japan,10/19/21,2.951,0.214,76.15,68.3,48.2,39002.223,79.37,5.72,84.63,0.919
JEY,Europe,Jersey,10/18/21,,,77.43,73.54,,,,,,
JOR,Asia,Jordan,10/19/21,155.516,0.779,37.3,33.31,23.2,8337.49,208.257,11.75,74.53,0.729
KAZ,Asia,Kazakhstan,10/19/21,96.71,2.79,42.4,37.73,30.6,24055.588,466.792,7.11,73.6,0.825
KEN,Africa,Kenya,10/19/21,2.419,0.164,6.07,2.28,20,2993.028,218.637,2.92,66.7,0.601
KIR,Oceania,Kiribati,10/19/21,0,,35.46,6.91,23.2,1981.132,434.657,22.66,68.37,0.63
OWID_KOS,Europe,Kosovo,10/19/21,9.575,0.563,46.81,37.53,,9795.834,,,,
KWT,Asia,Kuwait,10/19/21,7.393,0,,,33.7,65530.537,132.235,15.84,75.49,0.806
KGZ,Asia,Kyrgyzstan,10/19/21,14.031,0.302,13.94,10.56,26.3,3393.474,436.362,7.11,71.45,0.697
LAO,Asia,Laos,10/19/21,89.032,0.678,41.89,31.75,24.4,6397.36,368.111,4,67.92,0.613
LVA,Europe,Latvia,10/19/21,992.536,12.32,55.96,50.68,43.9,25063.846,350.06,4.91,75.29,0.866
LBN,Asia,Lebanon,10/19/21,67.955,0.591,25.26,21.2,31.1,13367.565,266.591,12.71,78.93,0.744
LSO,Africa,Lesotho,10/19/21,12.505,0,16.11,15.72,22.2,2851.153,405.126,3.94,54.33,0.527
LBR,Africa,Liberia,10/19/21,0,0,1.63,0.18,19.2,752.788,272.509,2.42,64.1,0.48
LBY,Africa,Libya,10/19/21,85.65,2.874,21.09,4.77,29,17881.509,341.862,10.43,72.91,0.724
LIE,Europe,Liechtenstein,10/19/21,444.398,0,64.8,60.56,,,,7.77,82.49,0.919
LTU,Europe,Lithuania,10/19/21,916.776,12.268,66.34,61.18,43.5,29524.265,342.989,3.67,75.93,0.882
LUX,Europe,Luxembourg,10/19/21,162.252,1.575,66.91,,39.7,94277.965,128.275,4.42,82.25,0.916
MAC,Asia,Macao,10/18/21,,,64.59,49.96,39.2,104861.851,,,84.24,
MDG,Africa,Madagascar,10/19/21,0.211,0,,,19.6,1416.44,405.994,3.94,67.04,0.528
MWI,Africa,Malawi,10/19/21,0.305,0.051,4.56,2.64,18.1,1095.042,227.349,3.94,64.26,0.483
MYS,Asia,Malaysia,10/19/21,175.28,2.105,77.06,70.33,29.9,26808.164,260.942,16.74,76.16,0.81
MDV,Asia,Maldives,10/19/21,207.866,1.84,72.42,64.6,30.6,15183.616,164.905,9.19,78.92,0.74
MLI,Africa,Mali,10/19/21,1.486,0.048,1.57,1.23,16.4,2014.306,268.024,2.42,59.31,0.434
MLT,Europe,Malta,10/19/21,42.755,0,82.83,82.67,42.4,36513.323,168.711,8.83,82.53,0.895
MHL,Oceania,Marshall Islands,10/19/21,0,,,,,3819.202,557.793,30.53,73.7,0.704
MRT,Africa,Mauritania,10/19/21,7.749,0.209,14.91,12.33,20.3,3597.633,232.347,2.42,64.92,0.546
MUS,Africa,Mauritius,10/19/21,106.798,5.497,69.25,65.33,37.4,20292.745,224.644,22.02,74.99,0.804
MEX,North America,Mexico,10/19/21,0,0,53.05,39.38,29.3,17336.469,152.783,13.06,75.05,0.779
FSM,Oceania,Micronesia (country),10/19/21,0,,,,23,3299.464,454.343,12.02,67.88,0.62
MDA,Europe,Moldova,10/19/21,426.19,8.946,,20.78,37.6,5189.972,408.502,5.72,71.9,0.75
MCO,Europe,Monaco,10/19/21,379.555,0,,,,,,5.46,86.75,
MNG,Asia,Mongolia,10/19/21,646.686,5.106,67.7,64.18,28.6,11840.846,460.043,4.82,69.87,0.737
MNE,Europe,Montenegro,10/19/21,891.647,9.553,40.36,37.13,39.1,16409.288,387.305,10.08,76.88,0.829
MSR,North America,Montserrat,10/8/21,,,30.15,28.29,,,,,74.16,
MAR,Africa,Morocco,10/19/21,13.362,0.134,62.22,56.03,29.6,7485.013,419.146,7.14,76.68,0.686
MOZ,Africa,Mozambique,10/19/21,0.746,0,6.14,5.62,17.7,1136.103,329.942,3.3,60.85,0.456
MMR,Asia,Myanmar,10/19/21,20.673,0.511,,,29.1,5591.597,202.104,4.61,67.13,0.583
NAM,Africa,Namibia,10/19/21,9.276,0,11.05,8.08,22,9541.808,243.811,3.94,63.71,0.646
NPL,Asia,Nepal,10/19/21,32.249,0.404,28.36,21.8,25,2442.804,260.797,7.26,70.78,0.602
NLD,Europe,Netherlands,10/19/21,229.895,0.815,75.43,68.31,43.2,48472.545,109.361,5.29,82.28,0.944
NCL,Oceania,New Caledonia,10/18/21,,,59.47,48.96,33.4,,,23.36,77.55,
NZL,Oceania,New Zealand,10/19/21,12.344,0,73.93,58.38,37.9,36085.843,128.797,8.08,82.29,0.931
NIC,North America,Nicaragua,10/19/21,75.197,0.149,10.02,4.9,27.3,5321.444,137.016,11.47,74.48,0.66
NER,Africa,Niger,10/19/21,0.637,0,1.91,1.29,15.1,926,238.339,2.42,62.42,0.394
NGA,Africa,Nigeria,10/19/21,0.752,0,2.53,1.27,18.1,5338.454,181.013,2.42,54.69,0.539
OWID_NAM,,North America,10/19/21,153.526,4.328,59.75,49.74,,,,,,
MKD,Europe,North Macedonia,10/19/21,226.633,6.722,38.37,36.4,39.1,13111.214,322.688,10.08,75.8,0.774
NOR,Europe,Norway,10/19/21,111.241,0,76.71,67.86,39.7,64800.057,114.316,5.31,82.4,0.957
OWID_OCE,,Oceania,10/19/21,61.453,0.509,54.48,43.17,,,,,,
OMN,Asia,Oman,10/19/21,0,0,56.66,43.93,30.7,37960.709,266.342,12.61,77.86,0.813
